Año,Video musical,Director(es),Ref.
1979,«Don't Stop 'til You Get Enough»,Nick Saxton,[6]​
1979,«Rock With You»,Bruce Gowers,[7]​
1980,«She's Out of My Life»,Bruce Gowers,[8]​
1982,«Billie Jean»,Steve Barron,[9]​
1982,«Beat It»,Bob Giraldi,[10]​
1983,«Say Say Say»,Bob Giraldi,[11]​
1983,«Thriller»,John Landis,[12]​
1985,«We Are The World»,Tom Trbovich,[12]​
1987,«Bad»,Martin Scorsese,[13]​
1987,«The Way You Make Me Feel»,Joe Pytka,[14]​
1988,«Dirty Diana»,Joe Pytka,[15]​
1988,«Man in the Mirror»,Donald Wilson,[16]​
1988,«Another Part of Me»,Patrick Kelly,[5]​
1988,«Smooth Criminal»,Colin Chilvers,[17]​
1988,«Come Together»,Jerry Kramer y Colin Chilvers,[18]​
1989,«Leave Me Alone»,Jim Blashfield y Paul Diener,[19]​
1989,«Liberian Girl»,Jim Yukich,[20]​
1989,«2300 Jackson Street»,Greg Gold,
1991,«Black or white»,John Landis,[21]​
1992,«Remember the Time»,John Singleton,[22]​
1992,«In the Closet»,Herb Ritts,[23]​
1992,«Who Is It»,David Fincher,[24]​
1992,«Give in to me»,Andy Moharan,[25]​
1992,«Jam»,Michael Jackson y David Kellogg,[26]​
1992,«Heal the World»,Joe Pytka,[27]​
1993,«Will You Be There»,Vincent Paterson,[28]​
1993,«Gone Too Soon»,Bill DiCicco,[29]​
1993,«What's Up With You»,Wayne Isham,[29]​
1995,«Scream»,Mark Romanek,[30]​
1995,«Childhood»,Nicholas Brandt,[31]​
1995,«You Are Not Alone»,Wayne Isham,[32]​
1995,«Earth Song»,Nicholas Brandt,[33]​
1996,«They Don't Care About Us» (versión en una cárcel),Spike Lee,[34]​
1996,«They Don't Care About Us» (versión en Brasil),Spike Lee,[34]​
1996,«Stranger in Moscow»,Nicholas Brandt,[35]​
1996,«Why»,Michael Jackson y Ralph Ziman,[35]​
1997,«History»,Jim Gamble,[36]​
1997,«Blood on the Dance Floor»,Michael Jackson y Vincent Paterson,[37]​
1997,«Ghosts»,Stan Winston,[38]​
2001,«You Rock My World»,Paul Hunter,[39]​
2001,«Cry»,Nicholas Brandt,[40]​
2003,«One More Chance»,Nicholas Brandt,[34]​
2009,«This is it»,Spike Lee,[40]​
2010,«Hold My Hand»,Mark Pellington,[40]​
2011,«Hollywood Tonight»,Wayne Isham,[40]​
2011,«Behind the Mask»,Dennis Liu,[40]​
2014,«Love Never Felt So Good»,Rich Lee y Justin Timberlake,[41]​
2014,«A Place With No Name»,Samuel Bayer,[40]​
